Dist Code,Dist Name,Supplier Code,Supplier Name,Doc Date,Doc No,Doc Type,Prd Code,Prd Description,Batch,Expiry Date,Invoice Qty,Received Qty,UOM,MRP,Unit Price,Gross Amt,Disc Amt,Tax Amt,Net Amt,Status
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,68928387,LIPTON PBAG EK P20 24X(20X2G),,28/8/2026,360,360,Case,,59.98,21593.78,0,0,21593.78,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,68928387,LIPTON PBAG EK P20 24X(20X2G),,22/6/2026,217,217,Case,,59.98,13016.25,0,0,13016.25,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,68928387,LIPTON PBAG EK P20 24X(20X2G),,24/6/2026,53,53,Case,,59.98,3179.08,0,0,3179.08,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,69566706,LIPTON PBAG EK P80 24X(80X2G),,17/6/2026,90,90,Case,,194.94,17544.95,0,0,17544.95,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69566731,LIPTON PACKET TEA EK 36X400G,,4/3/2027,24,24,Case,,341.9,8205.64,0,0,8205.64,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,68928385,LIPTON PACKET TEA EK 12X12X50G,,11/1/2027,10,10,Case,,231.36,2313.62,0,0,2313.62,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69729312,LIPTON YELLOW LABEL SKIPPY LJA 36X100X2G,,13/11/2025,39,39,Case,,478.79,18672.83,0,0,18672.83,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69729312,LIPTON YELLOW LABEL SKIPPY LJA 36X100X2G,,13/11/2025,9,9,Case,,478.79,4309.12,0,0,4309.12,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,69566727,LIPTON PBAG KAW EK P80 24X(80X2.3G),,11/2/2026,30,30,Case,,194.94,5848.32,0,0,5848.32,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,69566727,LIPTON PBAG KAW EK P80 24X(80X2.3G),,25/8/2026,150,150,Case,,194.94,29241.58,0,0,29241.58,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,68928341,LIPTON TEA DUST EK 5X1.8KG,,24/1/2026,10,10,Case,,181.15,1811.53,0,0,1811.53,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69566716,LIPTON PBAG KAW EK P20 24X(20X2.3G),,3/9/2026,270,270,Case,,59.98,16195.33,0,0,16195.33,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69729314,LIPTON YELLOW LABEL SKIPPY LJA 12X50X2G,,18/1/2026,200,200,Case,,92.54,18508.95,0,0,18508.95,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69566721,LIPTON PBAG KAW EK P40 24X(40X2.3G),,27/8/2026,180,180,Case,,113.54,20436.97,0,0,20436.97,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,69566714,LIPTON PBAG EK P40 24X(40X2G),,18/6/2026,100,100,Case,,113.54,11353.87,0,0,11353.87,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69566714,LIPTON PBAG EK P40 24X(40X2G),,23/8/2026,180,180,Case,,113.54,20436.97,0,0,20436.97,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,69566714,LIPTON PBAG EK P40 24X(40X2G),,26/1/2026,80,80,Case,,113.54,9083.1,0,0,9083.1,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,21182545,LIPTON YELLOW LABEL SIP2 12X50X2G,,24/9/2025,29,29,Case,,92.54,2683.8,0,0,2683.8,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,21182545,LIPTON YELLOW LABEL SIP2 12X50X2G,,25/9/2025,71,71,Case,,92.54,6570.68,0,0,6570.68,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,69566708,LIPTON PACKET TEA EK 72X200G,,6/2/2027,8,8,Case,,364.4,2915.16,0,0,2915.16,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,12/3/2024,5410001903,Company Inv,69566708,LIPTON PACKET TEA EK 72X200G,,26/2/2027,20,20,Case,,364.4,7287.9,0,0,7287.9,Confirm
10003720,VILLY TRADING (M) SDN BHD,lipton,Lipton MY,1/3/2024,5410001856,Company Inv,69566708,LIPTON PACKET TEA EK 72X200G,,27/12/2026,2,2,Case,,364.4,728.79,0,0,728.79,Confirm
